Rule,Available,Price,Rounds,Free,Event,Name,Desc
2200,1,3,6,1,0,邵阳字牌,纯正字牌
2201,1,3,6,1,0,邵阳剥皮,
2202,1,3,6,1,0,娄底放炮,
2090,1,3,6,1,0,斗地主,
2091,1,3,6,1,0,三人斗地主,
2203,1,3,6,1,0,怀化红拐弯,
2204,1,3,6,1,0,常德全名堂,最火玩法
2205,1,3,6,1,0,常德红黑点,
2206,1,3,6,1,0,长沙跑胡子,
2207,1,3,6,1,0,湘乡告胡子,
2208,1,3,6,1,0,衡阳六条枪,
2209,0,3,6,1,0,永州双霸王,
2210,0,3,6,1,0,碰胡子,
2211,0,3,6,1,0,四川二七十,研发中
2212,1,3,6,1,0,郴州跑胡子,
2213,1,3,6,1,0,广西跑胡子,
2330,1,3,6,1,0,四川麻将,
2331,1,3,6,1,0,广东麻将,
2332,1,3,6,1,0,湖南麻将,
2333,1,3,6,1,0,福建麻将,
2334,1,3,6,1,0,浙江麻将,
